curated_collection,document_id,path,repository_id,metadata_type,title,added,document_created,document_updated
bibliophilly,5486,0023/lewis_e_208,0023,TEI,"Book of Hours, Use of Paris",2017-11-06T15:40:09+00:00,2017-11-03T17:40:13+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5498,0027/cpp_10a_212,0027,TEI,De regimine regum et principum,2017-11-06T21:08:00+00:00,2017-11-06T17:22:17+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5507,0023/lewis_e_205,0023,TEI,Stella di salute,2017-11-09T15:23:44+00:00,2017-11-07T21:20:32+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5506,0023/lewis_e_206,0023,TEI,"Book of Hours, use of Rome",2017-11-09T15:23:44+00:00,2017-11-07T21:17:43+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5556,0008/swarthmore_bs75_1200z,0008,TEI,Bible,2017-11-14T21:26:59+00:00,2017-11-13T19:21:44+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5569,0023/lewis_e_079,0023,TEI,Expositio super orationem dominicam (Exposition on Sunday oration); Expositio super salutationem angelicam (Exposition on the annunciation),2017-11-14T21:26:59+00:00,2017-11-14T18:42:48+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5568,0023/lewis_e_058,0023,TEI,"Carta executoria, in favor of Luis and Andres Ordonez",2017-11-14T21:26:59+00:00,2017-11-14T18:42:33+00:00,2018-06-01T13:41:48+00:00
bibliophilly,5572,0023/lewis_e_207,0023,TEI,Prayer book,2017-11-14T21:26:59+00:00,2017-11-14T20:28:43+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5595,0023/lewis_e_213,0023,TEI,Rule of Saint Augustine; Sermon on Matthew 25:6,2017-11-17T21:23:29+00:00,2017-11-17T19:51:17+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5632,0023/lewis_e_043,0023,TEI,Biblical commentary,2017-11-27T21:49:12+00:00,2017-11-27T19:21:31+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5633,0023/lewis_e_048,0023,TEI,Liber primus distinctionum super decretales,2017-11-27T21:49:12+00:00,2017-11-27T21:38:15+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5630,0023/lewis_e_191,0023,TEI,Rituale Dominicanum (Dominican Ritual),2017-11-27T21:49:12+00:00,2017-11-27T17:22:27+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5628,0023/lewis_e_187,0023,TEI,Psalter,2017-11-27T21:49:12+00:00,2017-11-27T16:36:46+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5656,0023/lewis_e_204,0023,TEI,Menologium,2017-11-28T19:05:12+00:00,2017-11-28T18:37:40+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5657,0023/lewis_e_215,0023,TEI,Summa confessionis,2017-11-28T19:05:12+00:00,2017-11-28T18:37:56+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5708,0023/lewis_e_076,0023,TEI,Index to moralia in job; Legenda sanctorum (Lives of the saints),2017-12-05T19:01:03+00:00,2017-12-05T16:42:09+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5709,0023/lewis_e_257,0023,TEI,"Book of Hours, Use of Utrecht",2017-12-05T19:01:03+00:00,2017-12-05T17:38:15+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5745,0023/lewis_e_217,0023,TEI,Prayer book,2017-12-12T18:58:41+00:00,2017-12-12T14:43:43+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5800,0023/lewis_e_078,0023,TEI,Liturgical text; Manipulus curatorum (Handbook for priests),2017-12-15T21:12:35+00:00,2017-12-15T20:24:30+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5796,0027/cpp_10a_154,0027,TEI,De semine et sanguine menstruo,2017-12-15T21:12:35+00:00,2017-12-15T18:50:50+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5809,0023/lewis_e_052,0023,TEI,Breviary,2017-12-19T21:36:51+00:00,2017-12-19T19:40:06+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5810,0023/lewis_e_178,0023,TEI,Prayer book,2017-12-22T16:48:44+00:00,2017-12-19T21:00:16+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5845,0023/lewis_e_180,0023,TEI,Processional,2018-01-08T17:55:17+00:00,2018-01-08T16:40:37+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5847,0023/lewis_e_135,0023,TEI,De claustro animae (The cloister of the soul),2018-01-08T17:55:17+00:00,2018-01-08T17:48:00+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5853,0023/lewis_e_149,0023,TEI,Libellus beati misericordes (A collection of excerpts from the latin fathers),2018-01-09T22:01:42+00:00,2018-01-09T18:01:00+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5852,0023/lewis_e_145,0023,TEI,Lectionary,2018-01-09T22:01:42+00:00,2018-01-09T18:00:14+00:00,2018-01-11T18:56:37+00:00
bibliophilly,5900,0012/lcp_ms1,0012,TEI,S. John Chrysostom: Homilies,2018-01-12T22:02:27+00:00,2018-01-12T21:58:57+00:00,2018-01-14T00:55:27+00:00
bibliophilly,5915,0023/horace_ms_1a,0023,TEI,Ars Poetica and Epistulae,2018-01-16T20:43:29+00:00,2018-01-16T20:40:12+00:00,2018-01-17T00:08:41+00:00
bibliophilly,5914,0023/horace_ms_1b,0023,TEI,Laelius de Amicitia,2018-01-16T20:43:29+00:00,2018-01-16T20:05:17+00:00,2018-01-17T00:08:41+00:00
bibliophilly,5954,0023/lewis_e_134,0023,TEI,"Prayer Book, Use of Cologne",2018-01-19T21:04:36+00:00,2018-01-19T20:03:49+00:00,2018-01-20T00:39:27+00:00
bibliophilly,5955,0023/lewis_e_021,0023,TEI,De sermone domini in monte habito (On the sermon on the mount) and other treatises; De superbia (On pride) and other treatises; Expositio dominice orationis (Exposition on the lord's prayer),2018-01-19T21:04:36+00:00,2018-01-19T20:04:14+00:00,2018-01-20T00:39:27+00:00
bibliophilly,5964,0028/ms_1004_029,0028,TEI,Almanack,2018-02-02T20:29:46+00:00,2018-01-22T14:53:21+00:00,2018-01-30T19:27:02+00:00
bibliophilly,5999,0023/lewis_e_114,0023,TEI,"Book of Hours, Use of Rome",2018-02-02T20:29:46+00:00,2018-02-02T19:39:40+00:00,2018-02-03T00:11:54+00:00
bibliophilly,6000,0012/lcp_ms8,0012,TEI,"Gallican Psalter with Canticles, Litany, and Prayers",2018-02-02T21:02:21+00:00,2018-02-02T20:59:41+00:00,2018-02-03T00:11:54+00:00
bibliophilly,5998,0023/lewis_e_007,0023,TEI,Processional,2018-02-05T15:05:13+00:00,2018-02-02T19:35:06+00:00,2018-02-03T00:11:54+00:00
bibliophilly,6004,0023/lewis_e_006,0023,TEI,"Antiphonary, Dominican use",2018-02-05T21:26:10+00:00,2018-02-05T18:33:20+00:00,2018-02-07T13:10:43+00:00
bibliophilly,6003,0023/lewis_e_028,0023,TEI,Bible,2018-02-05T21:26:10+00:00,2018-02-05T18:28:17+00:00,2018-02-09T20:43:02+00:00
bibliophilly,6002,0023/lewis_e_115,0023,TEI,"Book of Hours, Use of Rome",2018-02-05T21:26:10+00:00,2018-02-05T17:25:13+00:00,2018-02-06T01:07:42+00:00
bibliophilly,6006,0028/ms_431_024,0028,TEI,"Summa de casibus conscientiae, III-VI",2018-02-05T21:26:10+00:00,2018-02-05T21:19:27+00:00,2018-02-07T13:10:43+00:00
bibliophilly,6001,0012/lcp_ms14,0012,TEI,Regulae ordinis fratrum minorum Franciscani etc.,2018-02-05T21:26:11+00:00,2018-02-05T17:24:33+00:00,2018-02-06T01:07:42+00:00
bibliophilly,6005,0028/ms_484_018,0028,TEI,"Quaestiones in josue, judicum, regum, machabeis",2018-02-05T21:26:11+00:00,2018-02-05T20:07:36+00:00,2018-02-06T01:07:42+00:00
bibliophilly,6008,0028/ms_197_030,0028,TEI,Les regnars traversant les perilleuses voyes des folles fiances du monde,2018-02-06T21:43:36+00:00,2018-02-06T20:16:43+00:00,2018-02-07T13:10:43+00:00
bibliophilly,6009,0028/ms_484_016,0028,TEI,Concordantiae multorum librorum ad scientiam,2018-02-06T21:43:36+00:00,2018-02-06T21:40:15+00:00,2018-03-13T17:42:49+00:00
bibliophilly,6010,0028/ms_232_015,0028,TEI,Psalter,2018-02-12T17:32:30+00:00,2018-02-09T17:55:37+00:00,2018-02-09T23:40:26+00:00
bibliophilly,6022,0012/lcp_ms024,0012,TEI,"Hamilton Book of Hours, Use of Therouanne",2018-02-12T17:32:30+00:00,2018-02-12T16:29:14+00:00,2018-02-12T23:57:48+00:00
